--------------------------------------------------------------------
TestCaseNum: 1c
Popln_Size: 100
Max_Generations: 500
Mutation_percent: 5
Num_Games: 50
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
0	6.673199999999997	[-0.94504035  0.20517241 -0.20469021 -0.15134378]	77.32
1	17.961800000000004	[ 0.17934732  0.59215487 -0.77992605 -0.09435312]	77.36
2	38.33339999999999	[-0.51307003  0.53035902 -0.65469399 -0.16387262]	77.7
3	60.4808	[-0.51307003  0.53035902 -0.65469399 -0.16387262]	77.7
4	75.72599999999997	[-0.57421706  0.42059338 -0.67226474 -0.20355856]	77.82
5	77.25660000000002	[-0.57825123  0.45254902 -0.64980171 -0.19642464]	77.92
6	77.4276	[-0.57825123  0.45254902 -0.64980171 -0.19642464]	77.92
7	77.52979999999994	[-0.57825123  0.45254902 -0.64980171 -0.19642464]	77.92
8	77.56979999999997	[-0.68942594  0.39255392 -0.57985819 -0.18535849]	77.94
9	77.557	[-0.68942594  0.39255392 -0.57985819 -0.18535849]	77.94
10	77.6284	[-0.68942594  0.39255392 -0.57985819 -0.18535849]	77.94
11	77.61619999999999	[-0.68942594  0.39255392 -0.57985819 -0.18535849]	77.94
12	77.57339999999995	[-0.68942594  0.39255392 -0.57985819 -0.18535849]	77.94
13	77.59039999999993	[-0.68942594  0.39255392 -0.57985819 -0.18535849]	77.94
14	77.58639999999998	[-0.68942594  0.39255392 -0.57985819 -0.18535849]	77.94
15	77.60919999999999	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
16	77.62439999999998	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
17	77.62540000000004	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
18	77.64740000000003	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
19	77.6838	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
20	77.65920000000003	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
21	77.64700000000005	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
22	77.66860000000005	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
23	77.63040000000002	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
24	76.91600000000001	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
25	77.68100000000005	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
26	77.72540000000004	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
27	77.68920000000004	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
28	77.68980000000005	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
29	77.69760000000002	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
30	77.696	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
31	77.71240000000004	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
32	77.72360000000008	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
33	77.73900000000005	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
34	77.73800000000004	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
35	77.66040000000004	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
36	77.69820000000003	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
37	77.67720000000001	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
38	77.72100000000002	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
39	77.71	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
40	77.69180000000001	[-0.62523235  0.46685027 -0.59880315 -0.18047195]	77.96
41	77.67559999999999	[-0.67399739  0.41153155 -0.58514907 -0.18430916]	78.0
42	77.77099999999997	[-0.67399739  0.41153155 -0.58514907 -0.18430916]	78.0
43	77.73580000000001	[-0.67399739  0.41153155 -0.58514907 -0.18430916]	78.0
44	77.73820000000002	[-0.58507002  0.45459385 -0.71745027 -0.1843298 ]	78.04
45	77.68900000000005	[-0.58507002  0.45459385 -0.71745027 -0.1843298 ]	78.04
46	77.77160000000005	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
47	77.02220000000005	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
48	77.7104	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
49	77.76080000000006	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
50	77.76180000000005	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
51	77.74280000000005	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
52	77.74960000000002	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
53	77.73900000000005	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
54	77.72840000000001	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
55	77.73499999999999	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
56	77.77539999999998	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
57	77.73919999999997	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
58	77.75239999999997	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
59	77.75339999999997	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
60	77.71559999999998	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
61	77.76079999999999	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
62	77.77619999999997	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
63	77.72300000000001	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
64	77.8116	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
65	77.70420000000001	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
66	77.7652	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
67	77.79320000000003	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
68	77.75480000000003	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
69	77.76300000000003	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
70	77.75000000000001	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
71	77.74980000000001	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
72	77.74920000000004	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
73	77.75400000000003	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
74	77.76620000000001	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
75	77.73100000000002	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
76	77.74160000000002	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
77	77.81920000000002	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
78	77.75440000000005	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
79	77.79720000000002	[-0.58283085  0.46445617 -0.64091874 -0.18387993]	78.1
