--------------------------------------------------------------------
TestCaseNum: 1d
Popln_Size: 100
Max_Generations: 500
Mutation_percent: 5
Num_Games: 100
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
0	6.866199999999997	[-0.95213285  0.16280255  0.23999987 -0.09663556]	77.32
1	21.023000000000003	[-0.91071644  0.07821221  0.39797043 -0.07808937]	77.63
2	40.7893	[-0.91071644  0.07821221  0.39797043 -0.07808937]	77.63
3	61.98720000000002	[-0.91071644  0.07821221  0.39797043 -0.07808937]	77.63
4	75.69260000000003	[-0.91071644  0.07821221  0.39797043 -0.07808937]	77.63
5	77.07230000000003	[-0.93376056  0.1520854   0.30914659 -0.09690016]	77.68
6	77.29999999999998	[-0.89664564  0.25653019  0.255567   -0.12493201]	77.78
7	77.4104	[-0.89664564  0.25653019  0.255567   -0.12493201]	77.78
8	77.43759999999996	[-0.89664564  0.25653019  0.255567   -0.12493201]	77.78
9	77.4772	[-0.89664564  0.25653019  0.255567   -0.12493201]	77.78
10	77.51860000000002	[-0.94034314  0.20112436  0.25261783 -0.10718207]	77.82
11	77.54160000000002	[-0.94034314  0.20112436  0.25261783 -0.10718207]	77.82
12	76.78820000000002	[-0.94034314  0.20112436  0.25261783 -0.10718207]	77.82
13	77.5564	[-0.94034314  0.20112436  0.25261783 -0.10718207]	77.82
14	76.7721	[-0.94034314  0.20112436  0.25261783 -0.10718207]	77.82
15	77.54360000000001	[-0.94034314  0.20112436  0.25261783 -0.10718207]	77.82
16	77.5601	[-0.94034314  0.20112436  0.25261783 -0.10718207]	77.82
17	77.55930000000002	[-0.93145975  0.14703564  0.31812034 -0.09778912]	77.86
18	76.8198	[-0.93145975  0.14703564  0.31812034 -0.09778912]	77.86
19	77.60019999999999	[-0.93145975  0.14703564  0.31812034 -0.09778912]	77.86
20	77.57539999999999	[-0.93145975  0.14703564  0.31812034 -0.09778912]	77.86
21	77.5645	[-0.93145975  0.14703564  0.31812034 -0.09778912]	77.86
22	77.59120000000001	[-0.93145975  0.14703564  0.31812034 -0.09778912]	77.86
23	77.6088	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
24	77.60079999999999	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
25	77.6107	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
26	77.60659999999994	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
27	77.58849999999997	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
28	77.60629999999993	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
29	76.82909999999997	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
30	77.58129999999998	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
31	77.62570000000001	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
32	77.64209999999997	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
33	77.62629999999996	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
34	77.62299999999998	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
35	77.60349999999995	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
36	77.63599999999994	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
37	77.63259999999993	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
38	77.63799999999993	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
39	77.62749999999991	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
40	76.87429999999993	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
41	77.64899999999993	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
42	77.60279999999992	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
43	77.66699999999993	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
44	77.67219999999995	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
45	77.62629999999996	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
46	77.62799999999999	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
47	77.6513	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
48	77.6671	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
49	76.8557	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
50	77.65999999999998	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
51	77.64999999999993	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
52	77.68759999999999	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
53	77.5576	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
54	77.6659	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
55	77.63119999999998	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
56	77.66299999999997	[-0.93692161  0.18009606  0.28146901 -0.10255978]	77.95
