--------------------------------------------------------------------
TestCaseNum: 2a
Popln_Size: 20
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
0	4.515	[-0.52469529 -0.00759623 -0.71645579 -0.45970453]	55.5
1	8.759999999999998	[-0.52469529 -0.00759623 -0.71645579 -0.45970453]	55.5
2	14.02	[-0.52469529 -0.00759623 -0.71645579 -0.45970453]	55.5
3	17.310000000000002	[-0.52469529 -0.00759623 -0.71645579 -0.45970453]	55.5
4	26.115000000000002	[-0.40603314 -0.00096457 -0.73318004 -0.54551185]	66.2
5	39.22500000000001	[-4.09011628e-01 -2.21408620e-04 -7.31639588e-01 -5.45355803e-01]	66.5
6	45.685	[-4.09011628e-01 -2.21408620e-04 -7.31639588e-01 -5.45355803e-01]	66.5
7	53.94000000000001	[-4.09011628e-01 -2.21408620e-04 -7.31639588e-01 -5.45355803e-01]	66.5
8	58.86	[-4.09011628e-01 -2.21408620e-04 -7.31639588e-01 -5.45355803e-01]	66.5
9	60.52	[-4.09011628e-01 -2.21408620e-04 -7.31639588e-01 -5.45355803e-01]	66.5
10	59.945000000000014	[-0.49181015 -0.01037867 -0.7314144  -0.47227962]	66.9
11	61.455	[-0.49181015 -0.01037867 -0.7314144  -0.47227962]	66.9
12	62.88500000000001	[-0.48306271 -0.01456557 -0.70668881 -0.51674867]	68.2
13	63.035000000000004	[-0.48306271 -0.01456557 -0.70668881 -0.51674867]	68.2
14	62.165	[-0.48306271 -0.01456557 -0.70668881 -0.51674867]	68.2
15	62.335	[-0.48306271 -0.01456557 -0.70668881 -0.51674867]	68.2
16	63.955000000000005	[-0.46241711  0.0025636  -0.73071256 -0.50221808]	68.8
17	63.70000000000001	[-0.46241711  0.0025636  -0.73071256 -0.50221808]	68.8
18	63.720000000000006	[-0.46241711  0.0025636  -0.73071256 -0.50221808]	68.8
19	64.53500000000003	[-0.46241711  0.0025636  -0.73071256 -0.50221808]	68.8
20	64.025	[-0.46707429  0.11128248 -0.71846647 -0.51535624]	71.3
21	64.69500000000002	[-0.46707429  0.11128248 -0.71846647 -0.51535624]	71.3
22	65.02000000000001	[-0.46707429  0.11128248 -0.71846647 -0.51535624]	71.3
23	65.26500000000001	[-0.46707429  0.11128248 -0.71846647 -0.51535624]	71.3
24	65.95	[-0.46707429  0.11128248 -0.71846647 -0.51535624]	71.3
25	66.04999999999998	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
26	66.885	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
27	66.465	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
28	67.325	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
29	67.44500000000001	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
30	66.79999999999998	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
31	67.07999999999998	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
32	68.425	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
33	68.54500000000002	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
34	67.70500000000001	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
35	68.785	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
36	67.99499999999998	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
37	68.07999999999997	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
38	68.995	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
39	69.04	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
40	68.99499999999999	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
41	69.10000000000001	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
42	68.97999999999999	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
43	69.035	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
44	69.8	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
45	68.745	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
46	69.28999999999999	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
47	67.775	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
48	69.24000000000001	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
49	69.575	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
50	68.35	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
51	69.91499999999999	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
52	69.09	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
53	69.71	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
54	69.72999999999999	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
55	69.425	[-0.48388801  0.02128743 -0.7293858  -0.48311033]	73.3
56	69.325	[-0.46291061  0.02142562 -0.7289499  -0.38169405]	75.0
57	69.71000000000001	[-0.46291061  0.02142562 -0.7289499  -0.38169405]	75.0
58	70.18	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
59	69.725	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
60	70.46999999999998	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
61	69.64	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
62	70.555	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
63	71.01	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
64	70.67999999999999	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
65	70.505	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
66	70.4	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
67	71.85499999999998	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
68	71.61999999999999	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
69	71.12000000000002	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
70	71.80499999999999	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
71	71.03	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
72	72.65	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
73	72.255	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
74	73.52999999999999	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
75	74.38500000000002	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
76	74.15	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
77	73.73999999999998	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
78	74.17	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
79	74.17499999999998	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
80	74.51000000000002	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
81	74.51500000000001	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
82	74.415	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
83	74.39000000000001	[-0.48747622  0.02199798 -0.75103843 -0.26797655]	76.6
