--------------------------------------------------------------------
TestCaseNum: 3b
Popln_Size: 100
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: RW
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
0	5.6819999999999995	[-0.59335629  0.75648963 -0.16871607 -0.21722488]	75.9
1	25.426	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	77.1
2	45.199000000000034	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	77.1
3	64.88800000000005	[-0.79937731  0.34347144 -0.40138711 -0.28620216]	77.2
4	69.94800000000002	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
5	71.81700000000002	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
6	73.18500000000002	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
7	74.19600000000003	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
8	74.35999999999999	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
9	74.51100000000001	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
10	74.903	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
11	75.057	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
12	74.96300000000001	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
13	75.28000000000002	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
14	74.98600000000002	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
15	75.292	[-0.73116699  0.12955595 -0.58399534 -0.32796269]	77.9
16	75.61	[-0.78559355  0.14238499 -0.510739   -0.31892784]	78.0
17	75.72399999999998	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
18	76.131	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
19	76.30399999999995	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
20	76.47499999999995	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
21	76.859	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
22	77.05499999999998	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
23	77.114	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
24	77.11200000000005	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
25	77.23100000000005	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
26	77.31800000000001	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
27	77.21300000000004	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
28	77.32799999999999	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
29	77.40999999999995	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
30	77.30799999999991	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
31	77.39899999999994	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
32	77.49799999999995	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
33	77.42699999999999	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
34	77.46	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
35	77.48300000000005	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
36	77.47700000000006	[-0.83465907  0.38313897 -0.3062247  -0.25054981]	78.3
