--------------------------------------------------------------------
TestCaseNum: 1a
Popln_Size: 100
Max_Generations: 500
Mutation_percent: 5
Num_Games: 5
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
0	5.510000000000002	[ 0.24980711  0.34200345 -0.90563743 -0.02123443]	77.4
1	15.622000000000007	[-0.78331166  0.01278749 -0.57913808 -0.22551808]	78.2
2	34.92999999999999	[-0.78331166  0.01278749 -0.57913808 -0.22551808]	78.2
3	56.67000000000001	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
4	74.61400000000002	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
5	77.27	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
6	77.43799999999996	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
7	77.54199999999997	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
8	77.55200000000002	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
9	77.44800000000014	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
10	77.7380000000001	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
11	77.77200000000008	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
12	77.74400000000004	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
13	77.89600000000004	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
14	77.87200000000003	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
15	77.08800000000002	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
16	77.80399999999999	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
17	77.57799999999999	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
18	77.75199999999997	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
19	77.95799999999998	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
20	77.83799999999995	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
21	78.00599999999994	[ 0.06372566  0.26626756 -0.95605845 -0.10484687]	78.6
22	77.93999999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
23	77.61799999999995	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
24	77.97199999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
25	77.90999999999993	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
26	78.03399999999993	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
27	78.01599999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
28	77.98199999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
29	77.97999999999993	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
30	77.82399999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
31	78.03399999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
32	78.01599999999998	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
33	78.03399999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
34	77.87599999999993	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
35	78.02799999999995	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
36	77.99599999999998	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
37	78.02599999999997	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
38	77.988	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
39	77.97999999999998	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
40	78.14399999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
41	77.99999999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
42	77.948	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
43	77.95199999999998	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
44	78.18199999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
45	77.94999999999997	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
46	78.14799999999995	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
47	78.10999999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
48	78.21599999999995	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
49	78.10399999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
50	78.14999999999995	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
51	78.05799999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
52	78.15199999999993	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
53	78.09199999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
54	78.19599999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
55	78.02399999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
56	77.33399999999995	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
57	78.00199999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
58	78.11999999999998	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
59	78.06199999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
60	78.02999999999993	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
61	78.15999999999991	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
