--------------------------------------------------------------------
TestCaseNum: 2aa
Popln_Size: 20
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
0	2.5500000000000007	[-0.49796358 -0.5670271  -0.21963038 -0.61828395]	9.2
1	4.029999999999999	[-0.49796358 -0.5670271  -0.21963038 -0.61828395]	9.2
2	5.459999999999999	[-0.49796358 -0.5670271  -0.21963038 -0.61828395]	9.2
3	7.24	[-0.59314793  0.1936027  -0.34783742 -0.69978758]	10.9
4	8.285	[-0.59314793  0.1936027  -0.34783742 -0.69978758]	10.9
5	9.129999999999999	[-0.62088004  0.21403516 -0.18072382 -0.73214468]	11.4
6	9.305000000000001	[-0.62088004  0.21403516 -0.18072382 -0.73214468]	11.4
7	9.969999999999997	[-0.62088004  0.21403516 -0.18072382 -0.73214468]	11.4
8	10.149999999999999	[-0.58742009  0.21993221 -0.30527904 -0.71649994]	13.2
9	10.77	[-0.58742009  0.21993221 -0.30527904 -0.71649994]	13.2
10	10.864999999999998	[-0.58742009  0.21993221 -0.30527904 -0.71649994]	13.2
11	11.145000000000003	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
12	11.39	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
13	11.264999999999999	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
14	11.715	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
15	11.98	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
16	12.13	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
17	12.364999999999998	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
18	12.57	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
19	12.685000000000002	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
20	12.55	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
21	12.48	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
22	12.355	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
23	12.105	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
24	12.635	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
25	12.54	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
26	12.674999999999999	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
27	12.690000000000001	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
28	12.45	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
29	12.829999999999998	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
30	12.43	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
31	12.440000000000001	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
32	12.785	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
33	12.834999999999999	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
34	12.73	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
35	12.605	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
36	12.690000000000001	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
37	12.705000000000002	[-0.63225457  0.27532548 -0.13761984 -0.71099284]	14.8
38	13.254999999999999	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
39	13.05	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
40	12.805000000000001	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
41	13.23	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
42	12.67	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
43	12.745	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
44	12.745000000000001	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
45	12.684999999999999	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
46	12.88	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
