--------------------------------------------------------------------
TestCaseNum: 2b
Popln_Size: 100
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
0	1.587999999999999	[-0.03601398  0.66570944 -0.51935374 -0.53460792]	13.6
1	3.6000000000000005	[-0.4083152   0.72708449 -0.215923   -0.50794103]	14.7
2	6.272000000000004	[-0.4083152   0.72708449 -0.215923   -0.50794103]	14.7
3	8.8	[-0.4083152   0.72708449 -0.215923   -0.50794103]	14.7
4	10.612	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
5	11.979000000000003	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
6	12.785000000000007	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
7	13.101	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
8	13.167000000000005	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
9	13.419000000000008	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
10	13.623999999999997	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
11	13.625000000000009	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
12	13.869999999999996	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
13	13.938999999999998	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
14	13.941999999999998	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
15	14.08	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
16	14.214000000000004	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
17	14.049999999999997	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
18	14.153999999999995	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
19	14.228000000000002	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
20	14.130999999999995	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
21	14.161999999999999	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
22	14.306999999999999	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
23	14.411999999999999	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
24	14.429	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
25	14.325999999999997	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
26	14.493999999999994	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
27	14.305	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
28	14.396999999999997	[-0.53873996  0.64097369 -0.04279562 -0.54505094]	17.7
29	14.583999999999994	[-0.71340711  0.53562279  0.2086871  -0.40075954]	17.9
30	14.59	[-0.71340711  0.53562279  0.2086871  -0.40075954]	17.9
31	14.545999999999994	[-0.71340711  0.53562279  0.2086871  -0.40075954]	17.9
32	14.529999999999996	[-0.71340711  0.53562279  0.2086871  -0.40075954]	17.9
