--------------------------------------------------------------------
TestCaseNum: 2c
Popln_Size: 500
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
0	6.031999999999992	[ 0.00893437  0.03974837 -0.98201706 -0.18434408]	78.2
1	26.939600000000027	[ 0.00893437  0.03974837 -0.98201706 -0.18434408]	78.2
2	50.08019999999995	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
3	72.18199999999996	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
4	77.31900000000005	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
5	77.33439999999976	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
6	77.44179999999993	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
7	77.63599999999977	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
8	77.6813999999999	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
9	77.74020000000003	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
10	77.74260000000015	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
11	77.84220000000028	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
12	77.77660000000031	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
13	77.85160000000037	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
14	77.83380000000028	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
15	77.7008000000003	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
16	77.8142000000001	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
17	77.89080000000003	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
18	77.90039999999996	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
19	77.86719999999997	[-0.07060623  0.33114998 -1.03009119 -0.10398   ]	78.7
