--------------------------------------------------------------------
TestCaseNum: 2d
Popln_Size: 1000
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
0	5.531300000000008	[-0.56751878  0.61545292 -0.5435877  -0.06043632]	78.0
1	27.887699999999963	[-0.54374117  0.34799467 -0.74923777 -0.14794596]	78.5
2	50.88159999999991	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
3	72.97900000000003	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
4	77.29949999999985	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
5	77.42380000000013	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
6	77.56069999999954	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
7	77.66309999999994	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
8	77.73720000000016	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
9	77.72470000000041	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
10	77.7612000000006	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
11	77.63460000000055	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
12	77.72700000000026	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
13	77.74809999999995	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
14	77.76049999999992	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
15	77.8201999999998	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
16	77.64149999999982	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
17	77.80289999999961	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
18	77.87109999999957	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
19	77.86719999999967	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
20	77.86779999999958	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
21	77.87289999999967	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
22	77.90849999999966	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
23	77.87749999999953	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
24	77.92259999999966	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
25	77.9301999999996	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
26	77.83879999999942	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
27	77.81959999999938	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
28	77.92339999999928	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
29	77.92449999999933	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
30	77.90309999999914	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
31	77.85409999999926	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
32	77.86299999999912	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
33	77.9723999999992	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
34	77.97309999999904	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
35	77.92799999999893	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
36	77.90659999999897	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
37	77.90399999999902	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
38	77.98059999999904	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
39	77.95519999999895	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
40	77.81539999999889	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
41	77.90339999999883	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
42	77.98549999999902	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
43	77.97629999999901	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
44	77.9816999999991	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
45	78.03029999999912	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
46	78.00539999999934	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
47	77.98629999999939	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
48	77.99399999999933	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
49	77.96129999999957	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
50	77.98249999999943	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
51	77.96949999999948	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
52	77.9985999999996	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
53	77.97919999999966	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
54	78.02139999999966	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
55	77.98379999999973	[-0.17661737  0.46091818 -0.85705562 -0.14770374]	78.8
