--------------------------------------------------------------------
TestCaseNum: 3b
Popln_Size: 100
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: RW
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
0	2.0830000000000006	[ 0.3313186   0.44703539 -0.78726936 -0.26569588]	13.1
1	4.803000000000001	[-0.47624054  0.11910308 -0.50461846 -0.71018985]	13.9
2	7.886999999999995	[-0.36552779  0.41808128 -0.58175121 -0.5942752 ]	15.5
3	9.994000000000002	[-0.36552779  0.41808128 -0.58175121 -0.5942752 ]	15.5
4	11.139000000000003	[-0.36552779  0.41808128 -0.58175121 -0.5942752 ]	15.5
5	11.700999999999997	[-0.53505456  0.49722625 -0.35313376 -0.58461886]	15.8
6	12.062999999999999	[-0.53505456  0.49722625 -0.35313376 -0.58461886]	15.8
7	12.132000000000003	[-0.53505456  0.49722625 -0.35313376 -0.58461886]	15.8
8	12.658000000000001	[-0.53505456  0.49722625 -0.35313376 -0.58461886]	15.8
9	12.856999999999996	[-0.01574453  0.52475242 -0.65313926 -0.54570698]	16.0
10	12.806	[-0.01574453  0.52475242 -0.65313926 -0.54570698]	16.0
11	12.993999999999998	[-0.01574453  0.52475242 -0.65313926 -0.54570698]	16.0
12	13.011000000000001	[-0.01574453  0.52475242 -0.65313926 -0.54570698]	16.0
13	13.31	[-0.01574453  0.52475242 -0.65313926 -0.54570698]	16.0
14	13.186000000000002	[-0.01574453  0.52475242 -0.65313926 -0.54570698]	16.0
15	13.373999999999992	[-0.01574453  0.52475242 -0.65313926 -0.54570698]	16.0
16	13.380999999999997	[-0.01574453  0.52475242 -0.65313926 -0.54570698]	16.0
17	13.43699999999999	[-0.01574453  0.52475242 -0.65313926 -0.54570698]	16.0
18	13.357999999999999	[-0.01574453  0.52475242 -0.65313926 -0.54570698]	16.0
19	13.321000000000003	[-0.01574453  0.52475242 -0.65313926 -0.54570698]	16.0
20	13.675000000000004	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
21	13.533	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
22	13.578000000000001	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
23	13.466999999999992	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
24	13.623999999999999	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
25	13.538999999999994	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
26	13.791999999999996	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
27	13.735000000000003	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
28	13.657000000000004	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
29	13.724000000000013	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
30	13.745000000000006	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
31	13.835000000000006	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
32	13.833000000000006	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
33	13.835	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
34	13.851999999999999	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
35	13.967000000000002	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
36	13.825000000000005	[-0.25055596  0.38706694 -0.59318815 -0.659946  ]	16.7
37	13.993000000000002	[-0.31242561  0.47364474 -0.53812226 -0.6232779 ]	17.1
38	14.018000000000004	[-0.31242561  0.47364474 -0.53812226 -0.6232779 ]	17.1
39	14.124999999999995	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
40	14.073000000000002	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
41	14.100999999999992	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
42	14.236	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
43	14.030999999999997	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
44	14.188999999999995	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
45	13.905999999999997	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
46	14.153999999999998	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
47	14.127999999999995	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
48	14.106	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
49	13.968	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
50	14.05200000000001	[-0.23418468  0.48541609 -0.59164237 -0.59324625]	17.9
